Month,Real,AI,Assumption_Monthly,Assumption_Yearly,Cost_Real,Cost_AI,Cost_Assumption_Monthly,Cost_Assumption_Yearly,Diff_AI,Diff_Monthly,Diff_Yearly
2023-02-01,230307.86500000002,233204.50502773636,248407.5376388889,196575.33166666664,23030.786500000002,23320.450502773638,24840.75376388889,19657.533166666664,289.66400277363573,1809.9672638888878,-3373.2533333333377
2023-03-01,228589.47,233776.07654635105,264788.8152777778,196467.1477272727,22858.947,23377.607654635107,26478.88152777778,19646.71477272727,518.6606546351068,3619.9345277777793,-3212.232227272729
2023-04-01,226871.075,233704.69739937608,281170.09291666665,196358.96378787875,22687.107500000002,23370.46973993761,28117.009291666665,19635.896378787875,683.3622399376072,5429.9017916666635,-3051.211121212127
2023-05-01,225152.68,232994.9737808489,297551.3705555555,196250.77984848482,22515.268,23299.497378084892,29755.13705555555,19625.07798484848,784.2293780848922,7239.869055555551,-2890.1900151515183
2023-06-01,223434.285,231692.09805535732,313932.64819444437,196142.5959090909,22343.4285,23169.209805535735,31393.264819444437,19614.25959090909,825.7813055357328,9049.836319444436,-2729.168909090913
2023-07-01,221715.89,229878.9710952529,330313.9258333332,196034.41196969693,22171.589000000004,22987.897109525293,33031.39258333333,19603.441196969692,816.3081095252892,10859.803583333323,-2568.1478030303115
2023-08-01,219997.495,227670.92737228383,346695.2034722221,195926.228030303,21999.7495,22767.092737228384,34669.52034722221,19592.6228030303,767.3432372283823,12669.770847222211,-2407.1266969697026
2023-09-01,218279.1,225208.398441126,363076.48111111094,195818.04409090904,21827.910000000003,22520.8398441126,36307.6481111111,19581.804409090906,692.9298441125975,14479.738111111095,-2246.1055909090974
2023-10-01,216560.705,222647.9814962355,379457.7587499998,195709.8601515151,21656.0705,22264.79814962355,37945.775874999985,19570.986015151513,608.72764962355,16289.705374999983,-2085.0844848484885
2023-11-01,214842.31,220152.48104143812,395839.03638888866,195601.67621212118,21484.231,22015.248104143815,39583.90363888887,19560.16762121212,531.0171041438152,18099.67263888887,-1924.0633787878796
2023-12-01,213123.91499999998,217880.55694238807,412220.3140277775,195493.49227272722,21312.391499999998,21788.055694238807,41222.03140277776,19549.349227272724,475.6641942388087,19909.63990277776,-1763.0422727272744
2024-01-01,211405.52,215976.63709184015,428601.5916666664,195385.3083333333,21140.552,21597.663709184017,42860.15916666664,19538.53083333333,457.11170918401695,21719.607166666643,-1602.0211666666692
